City_State_GeoCode
"New Haven, Connecticut"
"Troy, New York"
"Tyler, Texas"
"Uniontown, Pennsylvania"
"Upper Sandusky, Ohio"
"Utica, New York"
"Vicksburg, Mississippi"
"Vincennes, Indiana"
"Waco, Texas"
"Warren, Ohio"
"Warren, Pennsylvania"
"Washington, District of Columbia"
"Washington, Ohio"
"Washington, Pennsylvania"
"Waterbury, Connecticut"
"Waterloo, Iowa"
"Watertown, New York"
"Watertown, Wisconsin"
"Waterville, Maine"
"Watkins, New York"
"Wausau, Wisconsin"
"Waxahachie, Texas"
"Webster, Massachusetts"
"West Chester, Pennsylvania"
"Wheeling, West Virginia"
"White River Junction, Vermont"
"Whitefield, New Hampshire"
"Whitehall, New York"
"Wichita, Kansas"
"Williamsport, Pennsylvania"
"Willimantic, Connecticut"
"Wilmington, Delaware"
"Wilmington, North Carolina"
"Winfield, Kansas"
"Winona, Minnesota"
"Winston, North Carolina"
"Woodstock, New Brunswick"
"Woodstock, Ontario"
"Woonsocket, Rhode Island"
"Wooster, Ohio"
"Worcester, Massachusetts"
"Xenia, Ohio"
"York, Pennsylvania"
"Youngstown, Ohio"
"Ypsilanti, Michigan"
"Zanesville, Ohio"
"Baltimore, Maryland"
"Bridgeport, Connecticut"
"Brooklyn, New York"
"Chicago, Illinois"
"London,  England"
"New York, New York"
"Philadelphia, Pennsylvania"
"Philadelphia, Pennsylvania"
"Quebec, Quebec"
"St. Louis, Missouri"
"Wilkes-Barre, Pennsylvania"
"York, Pennsylvania"
"Abilene, Kansas"
"Adrian, Michigan"
"Akron, Ohio"
"Albany, New York"
"Albion, New York"
"Allegan, Michigan"
"Allentown, Pennsylvania"
"Altoona, Pennsylvania"
"Amsterdam, New York"
"Anderson, Indiana"
"Ann Arbor, Michigan"
"Anniston, Alabama"
"Appleton, Wisconsin"
"Ashland, Kentucky"
"Ashland, Pennsylvania"
"Ashland, Wisconsin"
"Ashtabula, Ohio"
"Atchison, Kansas"
"Athens, Georgia"
"Atlanta, Georgia"
"Atlantic, Iowa"
"Auburn, New York"
"Augusta, Georgia"
"Augusta, Maine"
"Aurora, Illinois"
"Austin, Minnesota"
"Austin, Texas"
"Baltimore, Maryland"
"Bangor, Maine"
"Barrie, Ontario"
"Batavia, New York"
"Bath, Maine"
"Bath, New York"
"Battle Creek, Michigan"
"Bay City, Michigan"
"Beaver Falls, Pennsylvania"
"Bedford, Pennsylvania"
"Belfast, Maine"
"Bellefonte, Pennsylvania"
"Belleville, Ontario"
"Bennington, Vermont"
"Biddeford, Maine"
"Big Rapids, Michigan"
"Binghamton, New York"
"Birmingham, Alabama"
"Bloomington, Illinois"
"Bloomsburg, Pennsylvania"
"Blossburg, Pennsylvania"
"Bonham, Texas"
"Boston, Massachusetts"
"Bowling Green, Kentucky"
"Bradford, Pennsylvania"
"Brainerd, Minnesota"
"Brantford, Ontario"
"Brattleboro, Vermont"
"Brenham, Texas"
"Bridgeport, Connecticut"
"Bridgeton, New Jersey"
"Bristol, Tennessee"
"Brockton, Massachusetts"
"Brockville, Ontario"
"Brooklyn, New York"
"Bryan, Ohio"
"Bryan, Texas"
"Buffalo, New York"
"Burlington, Iowa"
"Burlington, Vermont"
"Butler, Pennsylvania"
"Calais, Maine"
"Calvert, Texas"
"Camden, Arkansas"
"Camden, New Jersey"
"Canandaigua, New York"
"Canton, Ohio"
"Carlisle, Pennsylvania"
"Cedar Rapids, Iowa"
"Chambersburg, Pennsylvania"
"Champaign, Illinois"
"Charleston, South Carolina"
"Charleston, West Virginia"
"Charlotte, North Carolina"
"Charlottesville, Virginia"
"Chatham, Ontario"
"Chattanooga, Tennessee"
"Chester, Pennsylvania"
"Chicago, Illinois"
"Chillicothe, Missouri"
"Chillicothe, Ohio"
"Cincinnati, Ohio"
"Cleveland, Ohio"
"Clinton, Iowa"
"Cobourg, Ontario"
"Coldwater, Michigan"
"Columbia, Pennsylvania"
"Columbia, South Carolina"
"Columbus, Georgia"
"Columbus, Indiana"
"Columbus, Ohio"
"Concord, New Hampshire"
"Connellsville, Pennsylvania"
"Corning, New York"
"Cornwall, Ontario"
"Corry, Pennsylvania"
"Corsicana, Texas"
"Cortland, New York"
"Council Bluffs, Iowa"
"Covington, Kentucky"
"Crawfordsville, Indiana"
"Cumberland, Maryland"
"Dallas, Texas"
"Danbury, Connecticut"
"Dansville, New York"
"Danville, Illinois"
"Danville, Pennsylvania"
"Danville, Virginia"
"Davenport, Iowa"
"Dayton, Ohio"
"Decatur, Alabama"
"Decatur, Illinois"
"Decorah, Iowa"
"Defiance, Ohio"
"Delaware, Ohio"
"Denison, Texas"
"Des Moines, Iowa"
"Detroit, Michigan"
"Dover, Delaware"
"Dover, New Hampshire"
"DuBois, Pennsylvania"
"Dubuque, Iowa"
"Duluth, Minnesota"
"Dunkirk, New York"
"East Saginaw, Michigan"
"Easton, Pennsylvania"
"Eau Claire, Wisconsin"
"Elgin, Illinois"
"Elizabeth, New Jersey"
"Elizabethtown, Kentucky"
"Elkhart, Indiana"
"Ellsworth, Maine"
"Elmira, New York"
"Emporia, Kansas"
"Erie, Pennsylvania"
"Escanaba, Michigan"
"Evansville, Indiana"
"Fall River, Massachusetts"
"Falls City, Nebraska"
"Fargo, North Dakota"
"Faribault, Minnesota"
"Fayetteville, Arkansas"
"Fergus Falls, Minnesota"
"Findlay, Ohio"
"Fitchburg, Massachusetts"
"Flint, Michigan"
"Florence, South Carolina"
"Fond du Lac, Wisconsin"
"Frankfort, Kentucky"
"Frederick, Maryland"
"Fredericksburg, Virginia"
"Fredericton, New Brunswick"
"Freeport, Illinois"
"Fremont, Ohio"
"Fort Dodge, Iowa"
"Fort Scott, Kansas"
"Fort Smith, Arkansas"
"Fort Wayne, Indiana"
"Fort Worth, Texas"
"Gainesville, Texas"
"Galesburg, Illinois"
"Galion, Ohio"
"Gallipolis, Ohio"
"Galveston, Texas"
"Geneva, New York"
"Glens Falls, New York"
"Gloucester, Massachusetts"
"Gloversville, New York"
"Gouverneur, New York"
"Grand Rapids, Michigan"
"Green Bay, Wisconsin"
"Greencastle, Indiana"
"Greenfield, Massachusetts"
"Greensboro, North Carolina"
"Greensburg, Pennsylvania"
"Greenville, Texas"
"Griffin, Georgia"
"Guelph, Ontario"
"Hagerstown, Maryland"
"Hamilton, Ohio"
"Hamilton, Ontario"
"Hannibal, Missouri"
"Harrisburg, Pennsylvania"
"Harrisonville, Missouri"
"Hartford, Connecticut"
"Hastings, Nebraska"
"Haverhill, Massachusetts"
"Hazleton, Pennsylvania"
"Hoboken, New Jersey"
"Holly Springs, Mississippi"
"Holyoke, Massachusetts"
"Honesdale, Pennsylvania"
"Hope, Arkansas"
"Hopkinsville, Kentucky"
"Hornellsville, New York"
"Houlton, Maine"
"Houston, Texas"
"Hudson, New York"
"Humboldt, Tennessee"
"Huntingdon, Pennsylvania"
"Hurley, Wisconsin"
"Hutchinson, Kansas"
"Independence, Iowa"
"Indiana, Pennsylvania"
"Indianapolis, Indiana"
"Ionia, Michigan"
"Iowa City, Iowa"
"Iron Mountain, Michigan"
"Ironton, Ohio"
"Ishpeming, Michigan"
"Ithaca, New York"
"Jackson, Michigan"
"Jackson, Mississippi"
"Jackson, Tennessee"
"Jacksonville, Illinois"
"Jamestown, New York"
"Janesville, Wisconsin"
"Jersey City, New Jersey"
"Jerseyville, Illinois"
"Johnstown, Pennsylvania"
"Joliet, Illinois"
"Joplin, Missouri"
"Junction City, Kansas"
"Kalamazoo, Michigan"
"Kankakee, Illinois"
"Kansas City, Missouri"
"Keene, New Hampshire"
"Keokuk, Iowa"
"Kingston, New York"
"Kingston, Ontario"
"Kittanning, Pennsylvania"
"Knoxville, Tennessee"
"Kokomo, Indiana"
"LaCrosse, Wisconsin"
"Lafayette, Indiana"
"Lancaster, Ohio"
"Lancaster, Pennsylvania"
"Lansing, Michigan"
"LaPorte, Indiana"
"LaSalle, Illinois"
"Lawrence, Kansas"
"Lawrence, Massachusetts"
"Leavenworth, Kansas"
"Lebanon, Pennsylvania"
"Lewiston, Maine"
"Lewistown, Pennsylvania"
"Lexington, Kentucky"
"Lima, Ohio"
"Lincoln, Illinois"
"Lincoln, Nebraska"
"Lindsay, Ontario"
"Little Falls, New York"
"Little Rock, Arkansas"
"Lock Haven, Pennsylvania"
"Lockport, New York"
"Logansport, Indiana"
"London, Ontario"
"Louisiana, Missouri"
"Louisville, Kentucky"
"Lowell, Massachusetts"
"Lynchburg, Virginia"
"Lynn, Massachusetts"
"Lyons, New York"
"Macon, Georgia"
"Madison, Wisconsin"
"Madisonville, Kentucky"
"Malone, New York"
"Manchester, New Hampshire"
"Manistee, Michigan"
"Mankato, Minnesota"
"Mansfield, Ohio"
"Maquoketa, Iowa"
"Marietta, Ohio"
"Marlboro, Massachusetts"
"Marlin, Texas"
"Marshall, Texas"
"Marshalltown, Iowa"
"Martinsburg, West Virginia"
"Marysville, Kansas"
"Maryville, Missouri"
"Mason City, Iowa"
"Mattoon, Illinois"
"Maysville, Kentucky"
"McKeesport, Pennsylvania"
"McKinney, Texas"
"Meadville, Pennsylvania"
"Memphis, Tennessee"
"Mendota, Illinois"
"Menominee, Michigan"
"Meriden, Connecticut"
"Middletown, Connecticut"
"Middletown, New York"
"Milwaukee, Wisconsin"
"Mineola, Texas"
"Minneapolis, Minnesota"
"Moberly, Missouri"
"Mobile, Alabama"
"Montgomery, Alabama"
"Montpelier, Vermont"
"Montreal, Quebec"
"Morristown, New Jersey"
"Mount Holly, New Jersey"
"Mt.Sterling, Kentucky"
"Muncie, Indiana"
"Murfreesboro, Tennessee"
"Muscatine, Iowa"
"Muskegon, Michigan"
"Nashua, New Hampshire"
"Nashville, Tennessee"
"Navasota, Texas"
"New Albany, Indiana"
"New Bedford, Massachusetts"
"New Britain, Connecticut"
"New Brunswick, New Jersey"
"New Castle, Pennsylvania"
